name,team,event,time,state,is_relay,place,points,simulation_id
Karsynne McAlister,Central (Cape Girardeau),100 Back,55.45873869055441,Average,False,1,20,0
Gracey MacLaughlin,Louisiana,100 Back,56.82437676543235,Average,False,2,17,0
Madelyn Mug,Visitation Academy,100 Back,57.860338274611316,Average,False,3,16,0
Polly Fendler,St. Teresa's Academy,100 Back,59.2857225448669,Average,False,4,15,0
Ann Erwin,Webster Groves,100 Back,59.830915623956905,Average,False,5,14,0
Ella Paul,Rockwood Summit,100 Back,59.92661103292588,Average,False,6,13,0
Olivia Deberge,Timberland,100 Back,60.27710768109552,Average,False,7,12,0
Olive Agustin,Clayton,100 Back,60.297693580420436,Average,False,8,11,0
Missy Mizell,Lebanon,100 Back,60.619867016496215,Good,False,9,9,0
Charlotte Leary,Villa Duchesne,100 Back,61.30417706374829,Average,False,10,7,0
Sienna Kelley,John Burroughs,100 Back,61.54603731565587,Average,False,11,6,0
Jane Hill,Villa Duchesne,100 Back,61.75008071117651,Bad,False,12,5,0
Lucia Fox,Parkway West,100 Back,62.62147243207544,Average,False,13,4,0
Kylie Montgomery,Webster Groves,100 Back,62.854987573282386,Average,False,14,3,0
India Browning,Notre Dame de Sion,100 Back,63.358735558352485,Average,False,15,2,0
Mary Wolf-Slinkard,Parkway North,100 Back,63.98103505980222,Good,False,16,1,0
Andrea Jeliazkova,Ladue Horton Watkins,100 Back,64.01595252665646,Bad,False,17,0,0
Reece Gould,Savannah,100 Back,64.10835763342807,Average,False,18,0,0
Isabell Coffey,Monett,100 Back,64.34663368898266,Bad,False,19,0,0
Emma Cox,Kearney,100 Back,64.72587467449169,Average,False,20,0,0
Brooke Schoonover,Washington,100 Back,65.11035935645525,Good,False,21,0,0
Ava Maus,Smithville,100 Back,65.49064833985788,Average,False,22,0,0
Meghan Piper,Savannah,100 Back,65.62833707667392,Average,False,23,0,0
Mackenzie Johnson,Platte County,100 Back,65.72153064483439,Average,False,24,0,0
Elise Poulter,St. Dominic,100 Back,66.3969850856717,Average,False,25,0,0
Lily Schaefer,Ft. Zumwalt East,100 Back,66.42413442483866,Good,False,26,0,0
Alexis Stone,STEAM Academy,100 Back,66.50119302411413,Good,False,27,0,0
Emily Holzwarth,Grain Valley,100 Back,66.5267667894505,Average,False,28,0,0
Maya Price,Glendale,100 Back,66.59331359828212,Good,False,29,0,0
Hadley Kiser,Logan-Rogersville,100 Back,67.53679509531386,Bad,False,30,0,0
Elle Schaefer,Nerinx Hall,100 Back,67.68588683050783,Good,False,31,0,0
Camille Matlock,Clayton,100 Back,67.73284028062363,Average,False,32,0,0
Lily Kohler,Mehlville,100 Breast,66.52409837798253,Bad,False,1,20,0
Riley Muran,Parkway Central,100 Breast,67.02071694422779,Average,False,2,17,0
Kennedy Chrun,Ursuline Academy,100 Breast,67.91467727152107,Average,False,3,16,0
Serena Huang,Parkway Central,100 Breast,68.86226788217687,Good,False,4,15,0
Elizabeth Martin,Grain Valley,100 Breast,68.95606204180457,Bad,False,5,14,0
Elsa Dogotch,Carl Junction,100 Breast,69.65222795085894,Average,False,6,13,0
Molly Moriarty,Visitation Academy,100 Breast,69.6909467394944,Average,False,7,12,0
Sarah Lamb,Principia,100 Breast,69.94594421635888,Good,False,8,11,0
Jayli Cope,Glendale,100 Breast,70.03463285406491,Average,False,9,9,0
Anna Irminger,Capital City,100 Breast,70.09103690779448,Good,False,10,7,0
Alicia Williams,John Burroughs,100 Breast,70.31567513863742,Bad,False,11,6,0
Kya Baker,Ft. Zumwalt South,100 Breast,71.36125089286054,Average,False,12,5,0
